model_name,classifier,threshold,test_samples,positive_samples,negative_samples,cv_roc_auc_mean,cv_roc_auc_std,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,mcc,cohen_kappa,brier_score
Heart Disease,SVM,0.69,46,21,25,0.8956,0.0282,0.8261,0.821,0.8421,0.7619,0.88,0.8,0.899,0.8366,0.6494,0.6468,0.1248
Diabetes,LogisticRegression,0.48,15265,7035,8230,0.649,0.0043,0.6172,0.612,0.5917,0.546,0.678,0.5679,0.65,0.6178,0.2258,0.2253,0.2324
Kidney Disease,RandomForest,0.08,60,37,23,0.9995,0.0007,0.9667,0.9565,0.9487,1.0,0.913,0.9737,1.0,1.0,0.9307,0.9283,0.0091
Liver Disease,XGBoost,0.9,88,63,25,0.712,0.0577,0.6477,0.6575,0.8333,0.6349,0.68,0.7207,0.6883,0.8634,0.2852,0.2667,0.2348
Breast Cancer,SVM,0.56,86,32,54,0.9926,0.006,0.9767,0.9751,0.9688,0.9688,0.9815,0.9688,0.9988,0.9982,0.9502,0.9502,0.0167
Parkinson's,XGBoost,0.57,30,23,7,0.9402,0.0277,0.8667,0.8634,0.9524,0.8696,0.8571,0.9091,0.9565,0.9869,0.6707,0.661,0.0778
Hepatitis,LogisticRegression,0.24,24,5,19,0.8176,0.0915,0.5833,0.7368,0.3333,1.0,0.4737,0.5,0.8947,0.7311,0.3974,0.2727,0.1538
Heart Failure,SVM,0.5,45,14,31,0.8309,0.0796,0.7556,0.7051,0.6154,0.5714,0.8387,0.5926,0.8594,0.7287,0.4189,0.4183,0.1496
Stroke,LogisticRegression,0.5,767,37,730,0.8498,0.0137,0.7692,0.7633,0.1429,0.7568,0.7699,0.2403,0.8229,0.2015,0.2587,0.1732,0.1615
